,date,arrivals,departures
0,2019-01-01,252,276
1,2019-01-02,255,278
2,2019-01-03,261,287
3,2019-01-04,268,284
4,2019-01-05,275,286
5,2019-01-06,279,288
6,2019-01-07,279,286
7,2019-01-08,284,287
8,2019-01-09,284,284
9,2019-01-10,283,280
10,2019-01-11,278,278
11,2019-01-12,276,277
12,2019-01-13,274,273
13,2019-01-14,274,274
14,2019-01-15,274,274
15,2019-01-16,276,275
16,2019-01-17,281,278
17,2019-01-18,282,279
18,2019-01-19,281,277
19,2019-01-20,281,277
20,2019-01-21,280,276
21,2019-01-22,280,276
22,2019-01-23,280,276
23,2019-01-24,279,275
24,2019-01-25,280,276
25,2019-01-26,282,279
26,2019-01-27,281,277
27,2019-01-28,281,277
28,2019-01-29,281,279
29,2019-01-30,282,280
30,2019-01-31,283,280
31,2019-02-01,283,279
32,2019-02-02,280,278
33,2019-02-03,284,279
34,2019-02-04,282,278
35,2019-02-05,281,276
36,2019-02-06,281,275
37,2019-02-07,282,277
38,2019-02-08,280,276
39,2019-02-09,281,276
40,2019-02-10,277,277
41,2019-02-11,280,276
42,2019-02-12,281,276
43,2019-02-13,281,278
44,2019-02-14,280,276
45,2019-02-15,280,277
46,2019-02-16,280,276
47,2019-02-17,280,275
48,2019-02-18,278,274
49,2019-02-19,277,273
50,2019-02-20,276,272
51,2019-02-21,277,273
52,2019-02-22,277,273
53,2019-02-23,279,273
54,2019-02-24,281,275
55,2019-02-25,282,276
56,2019-02-26,282,275
57,2019-02-27,280,275
58,2019-02-28,275,272
59,2019-03-01,271,271
60,2019-03-02,267,271
61,2019-03-03,265,269
62,2019-03-04,261,267
63,2019-03-05,260,268
64,2019-03-06,262,269
65,2019-03-07,268,273
66,2019-03-08,272,273
67,2019-03-09,274,273
68,2019-03-10,276,275
69,2019-03-11,279,278
70,2019-03-12,282,279
71,2019-03-13,281,279
72,2019-03-14,281,279
73,2019-03-15,282,281
74,2019-03-16,283,281
75,2019-03-17,282,280
76,2019-03-18,284,280
77,2019-03-19,283,279
78,2019-03-20,284,280
79,2019-03-21,284,279
80,2019-03-22,283,278
81,2019-03-23,283,279
82,2019-03-24,283,280
83,2019-03-25,283,280
84,2019-03-26,283,280
85,2019-03-27,282,279
86,2019-03-28,281,279
87,2019-03-29,282,279
88,2019-03-30,280,278
89,2019-03-31,281,281
90,2019-04-01,283,283
91,2019-04-02,281,284
92,2019-04-03,284,287
93,2019-04-04,284,286
94,2019-04-05,285,288
95,2019-04-06,287,288
96,2019-04-07,288,288
97,2019-04-08,290,288
98,2019-04-09,289,287
99,2019-04-10,286,283
100,2019-04-11,285,282
101,2019-04-12,284,281
102,2019-04-13,282,281
103,2019-04-14,281,281
104,2019-04-15,279,280
105,2019-04-16,279,281
106,2019-04-17,281,282
107,2019-04-18,280,283
108,2019-04-19,282,285
109,2019-04-20,284,285
110,2019-04-21,283,283
111,2019-04-22,283,283
112,2019-04-23,284,282
113,2019-04-24,282,282
114,2019-04-25,283,281
115,2019-04-26,282,279
116,2019-04-27,283,278
117,2019-04-28,283,280
118,2019-04-29,284,280
119,2019-04-30,285,283
120,2019-05-01,289,284
121,2019-05-02,288,285
122,2019-05-03,286,283
123,2019-05-04,288,285
124,2019-05-05,287,283
125,2019-05-06,280,279
126,2019-05-07,276,274
127,2019-05-08,273,272
128,2019-05-09,271,268
129,2019-05-10,270,267
130,2019-05-11,267,266
131,2019-05-12,266,266
132,2019-05-13,269,267
133,2019-05-14,267,265
134,2019-05-15,264,264
135,2019-05-16,266,265
136,2019-05-17,265,266
137,2019-05-18,266,266
138,2019-05-19,267,267
139,2019-05-20,267,267
140,2019-05-21,271,270
141,2019-05-22,273,271
